DNA_plate,DNA_well,metric,value,analysis
plate_2,C9,unrooted_pd,51.8364,100K
plate_2,C9,bwpd,1.80124,100K
plate_2,E10,unrooted_pd,139.327,100K
plate_2,E10,bwpd,2.0237,100K
plate_2,E11,unrooted_pd,101.636,100K
plate_2,E11,bwpd,2.42321,100K
plate_2,E12,unrooted_pd,131.855,100K
plate_2,E12,bwpd,2.19623,100K
plate_2,E1,unrooted_pd,119.714,100K
plate_2,E1,bwpd,2.29194,100K
plate_2,E2,unrooted_pd,122.634,100K
plate_2,E2,bwpd,2.07131,100K
plate_2,E3,unrooted_pd,106.451,100K
plate_2,E3,bwpd,2.4475,100K
plate_2,E4,unrooted_pd,117.901,100K
plate_2,E4,bwpd,2.06523,100K
plate_2,E5,unrooted_pd,132.323,100K
plate_2,E5,bwpd,2.19657,100K
plate_2,E6,unrooted_pd,90.9492,100K
plate_2,E6,bwpd,2.18765,100K
plate_2,E7,unrooted_pd,110.775,100K
plate_2,E7,bwpd,1.87016,100K
plate_2,E8,unrooted_pd,120.05,100K
plate_2,E8,bwpd,2.08924,100K
plate_2,E9,unrooted_pd,105.828,100K
plate_2,E9,bwpd,2.32926,100K
plate_2,F10,unrooted_pd,112.28,100K
plate_2,F10,bwpd,2.23671,100K
plate_2,F11,unrooted_pd,114.039,100K
plate_2,F11,bwpd,2.3247,100K
plate_2,F12,unrooted_pd,115.823,100K
plate_2,F12,bwpd,2.28913,100K
plate_2,F1,unrooted_pd,123.848,100K
plate_2,F1,bwpd,2.27683,100K
plate_2,F2,unrooted_pd,137.74,100K
plate_2,F2,bwpd,2.14312,100K
plate_2,F3,unrooted_pd,114.729,100K
plate_2,F3,bwpd,2.29572,100K
plate_2,F4,unrooted_pd,101.369,100K
plate_2,F4,bwpd,2.22824,100K
plate_2,F5,unrooted_pd,127.746,100K
plate_2,F5,bwpd,2.10591,100K
plate_2,F6,unrooted_pd,122.94,100K
plate_2,F6,bwpd,2.21396,100K
plate_2,F7,unrooted_pd,109.198,100K
plate_2,F7,bwpd,2.29867,100K
plate_2,F8,unrooted_pd,114.755,100K
plate_2,F8,bwpd,2.11414,100K
plate_2,F9,unrooted_pd,111.8,100K
plate_2,F9,bwpd,2.26682,100K
plate_2,G10,unrooted_pd,131.087,100K
plate_2,G10,bwpd,2.00448,100K
plate_2,G11,unrooted_pd,113.351,100K
plate_2,G11,bwpd,2.02659,100K
plate_2,G12,unrooted_pd,121.834,100K
plate_2,G12,bwpd,2.20771,100K
plate_2,G1,unrooted_pd,134.726,100K
plate_2,G1,bwpd,2.113,100K
plate_2,G2,unrooted_pd,105.235,100K
plate_2,G2,bwpd,2.25445,100K
plate_2,G3,unrooted_pd,108.949,100K
plate_2,G3,bwpd,2.29656,100K
plate_2,G4,unrooted_pd,114.706,100K
plate_2,G4,bwpd,1.99925,100K
plate_2,G5,unrooted_pd,113.471,100K
plate_2,G5,bwpd,2.09972,100K
plate_2,G6,unrooted_pd,134.702,100K
plate_2,G6,bwpd,2.24344,100K
plate_2,G7,unrooted_pd,143.532,100K
plate_2,G7,bwpd,2.20651,100K
plate_2,G8,unrooted_pd,117.627,100K
plate_2,G8,bwpd,2.22561,100K
plate_2,G9,unrooted_pd,104.355,100K
plate_2,G9,bwpd,2.34102,100K
plate_2,H1,unrooted_pd,122.421,100K
plate_2,H1,bwpd,2.11783,100K
plate_2,H2,unrooted_pd,116.61,100K
plate_2,H2,bwpd,2.05528,100K
plate_2,H3,unrooted_pd,127.143,100K
plate_2,H3,bwpd,2.08334,100K
plate_2,H4,unrooted_pd,122.13,100K
plate_2,H4,bwpd,2.22318,100K
plate_2,H5,unrooted_pd,106.101,100K
plate_2,H5,bwpd,2.17811,100K
plate_2,H6,unrooted_pd,135.496,100K
plate_2,H6,bwpd,1.90371,100K
plate_2,H7,unrooted_pd,120.337,100K
plate_2,H7,bwpd,2.27548,100K
plate_2,H8,unrooted_pd,91.4438,100K
plate_2,H8,bwpd,2.11385,100K
plate_3,A10,unrooted_pd,136.846,100K
plate_3,A10,bwpd,1.9708,100K
