isolation_source,collection_date,Cohort,phylo_entropy,quadratic,unrooted_pd,rooted_pd,bwpd
29924,t2,ColiGuard,3.43662214570622,0.871689808050974,383.959392862903,383.958165538414,1.97992407554577
14322,t2,Control,3.40026357058898,0.921700284591559,324.026103840893,324.025772524655,2.10525695700951
14162,t0,ColiGuard,3.40394983003957,0.957606134450554,300.477671139851,300.477691874876,2.25800049186103
14231,t0,ColiGuard,3.5382660557581,0.969510032743346,346.555967046119,346.555298906329,2.22461193410525
14307,t2,ColiGuard,3.20805429430322,0.833249869364763,335.940280367693,335.939770933407,1.904002382001
14193,t0,Neomycin+D-Scour,3.3996189401554,0.885322150951561,343.140163155063,343.139830118607,2.03513315247137
29924,t0,ColiGuard,3.24891939571931,0.899170064411455,305.828087916716,305.828028662512,2.13083038573439
29912,t2,Control,3.29783892462129,0.983123777021109,245.16413227101,245.164979948592,2.25702648582115
14188,t0,ColiGuard,3.47672627667273,0.908974890932661,351.176249367259,351.175512153818,2.07729236653744
14187,t9,Control,3.19937725463132,0.89171524581603,291.343540091701,291.343697382835,2.05327919393332
29707,t0,Control,3.27425872341723,0.909008776471731,294.553577290631,294.55368659141,2.11989936060433
29863,t2,ColiGuard,3.43048496844397,0.903393851065275,335.416627084578,335.416125478958,2.04712126001292
14231,t2,ColiGuard,3.01095306512727,0.893183313900608,281.78899634674,281.789296479193,2.25149634726295
29705,t3,Control,3.52988549807954,0.866268121799756,401.878020602491,401.876525392848,1.91799852566415
14317,t0,D-Scour,3.20037541067558,0.878221474663084,311.328576061303,311.328434574288,2.05734139921814
29704,t2,ColiGuard,3.5482278507345,0.909854083297723,357.15888169325,357.158055038899,2.03185106105591
14194,t0,Neomycin+D-Scour,3.55958311107963,0.91852237052201,332.201268205941,332.200814670235,2.09282106946713
14262,t0,D-Scour,3.38403612281988,0.939285047718186,297.192066089089,297.192135944215,2.18743352346443
29804,t0,Neomycin,3.24629058871165,0.884121221762804,313.016612864189,313.016446140867,2.04464700770308
29693,t0,Neomycin,3.55006603909324,0.960572492857259,323.027756727962,323.027440337108,2.18370368043019
14305,t0,Neomycin,3.60493497332834,1.004531195285,262.398924168319,262.399514184157,2.27434625199005
14163,t0,ColiGuard,3.1905223257634,0.926754724865287,268.614646065453,268.615143155669,2.20045104494532
29703,t2,Neomycin+D-Scour,3.45624925366568,0.920487731788077,359.317354982186,359.316496058458,2.10105626745362
29654,t2,Control,3.45667421118947,0.860872994484567,365.782131489582,365.781175916843,1.94773571480596
14288,t0,ColiGuard,3.21126618256446,0.938615579365207,276.063933318541,276.06431904122,2.23533984897106
14265,t0,Neomycin,3.41356149277348,0.943936807119281,319.485777358895,319.485810189948,2.19517136286204
29864,t3,D-Scour,3.51250177053639,0.937469881814484,338.842724479591,338.842171653495,2.09578463286809
14315,t0,Control,3.26232038181852,0.889220537480166,318.37235132076,318.372104528649,2.08450278091799
14261,t0,Neomycin+ColiGuard,3.31445179898174,0.901098792662311,304.237970020429,304.237934538635,2.09415051846943
14307,t0,ColiGuard,3.62912790398532,1.08334712751132,214.85929501466,214.86059575238,2.44301086187263
14308,t0,ColiGuard,3.5706418894314,1.0414023250948,268.883923058599,268.884416123099,2.38838343307657
29654,t0,Control,3.54230809360071,1.03854494990835,237.453018376364,237.453981335816,2.35821232655206
29846,t3,D-Scour,3.33937605188896,0.926956206448947,325.769486112726,325.769128732761,2.14053351699426
29962,t2,Control,3.46871138011929,0.922924743124984,330.819760154147,330.819327272115,2.10780506759726
29643,t1,Neomycin+ColiGuard,3.6809727218883,0.97826898668028,349.998029480251,349.997309881307,2.20723677422791
29961,t2,Neomycin+D-Scour,3.39842538223023,0.856173894458384,362.433730618283,362.432825104449,1.94359965124324
29646,t0,Neomycin+ColiGuard,3.32386016090389,0.900272718169304,303.050171109949,303.05015338586,2.06635210912264
14233,t2,D-Scour,3.53676388032515,0.938164993278112,350.066146980494,350.065426363186,2.1266296961785
14195,t0,Neomycin+ColiGuard,3.3958163406888,0.882138459814513,326.528357638865,326.527988913701,2.01625773213305
29846,t0,D-Scour,3.58605895308536,0.987745947715348,315.131448379532,315.131250039222,2.28014412680566
29644,t0,D-Scour,3.32125111936245,0.8846414105788,314.698263651427,314.698071787269,2.02738263524261
14183,t0,ColiGuard,3.14979558261087,0.869943329050793,285.188485343221,285.188734652996,1.99150597674987
29707,t2,Control,3.40073794177833,0.891376390425329,329.78309694733,329.78267956351,2.02070769337687
14169,t0,Control,3.42774745137208,0.995610140255755,253.634117691796,253.634838742307,2.26416304192379
29914,t0,D-Scour,3.62571836106185,1.10140720401031,268.356012431719,268.356513388533,2.56686196163589
14201,t0,Neomycin+D-Scour,3.41586840617205,0.910654514680082,305.590741001808,305.590685295962,2.07623065379254
29939,t0,Control,3.53707024505161,1.00814870553708,273.089114362636,273.089544559135,2.26522475466869
14184,t3,Control,3.44207741438377,0.915392995197616,331.396630234326,331.396188728032,2.03920919199227
14273,t2,D-Scour,3.29581296433343,0.912596064486262,302.001800207779,302.001798156932,2.13059034633119
